key,dev_duration_days,review_duration_days,test_duration_days
BOOKKEEPER-544,,,
BOOKKEEPER-546,,,
BOOKKEEPER-548,,,
BOOKKEEPER-549,,,
BOOKKEEPER-552,1489.6596412037038,73.92246527777777,0.0034837962962962
BOOKKEEPER-552,1489.6596412037038,73.92246527777777,0.0034837962962962
BOOKKEEPER-553,,,
BOOKKEEPER-554,,,
BOOKKEEPER-555,,,
BOOKKEEPER-556,,,
BOOKKEEPER-557,,,
BOOKKEEPER-559,,,
BOOKKEEPER-560,,,
BOOKKEEPER-561,,,
BOOKKEEPER-562,,,
BOOKKEEPER-563,,,
BOOKKEEPER-564,,,
BOOKKEEPER-565,,,
BOOKKEEPER-567,,,
BOOKKEEPER-568,,,
BOOKKEEPER-569,,,
BOOKKEEPER-571,,,
BOOKKEEPER-573,,,
BOOKKEEPER-574,,,
BOOKKEEPER-575,,,
BOOKKEEPER-576,,,
BOOKKEEPER-577,,,
BOOKKEEPER-578,1111.9389583333334,21.30304398148148,0.0001273148148148
BOOKKEEPER-579,,,
BOOKKEEPER-580,,,
BOOKKEEPER-581,,,
BOOKKEEPER-582,,,
BOOKKEEPER-583,,,
BOOKKEEPER-584,,,
BOOKKEEPER-585,,,
BOOKKEEPER-586,,,
BOOKKEEPER-587,,,
BOOKKEEPER-588,1372.1271412037038,223.2717824074074,0.4147222222222222
BOOKKEEPER-588,1372.1271412037038,223.2717824074074,0.4147222222222222
BOOKKEEPER-589,,,
BOOKKEEPER-590,,,
BOOKKEEPER-591,,,
BOOKKEEPER-592,,,
BOOKKEEPER-593,,,
BOOKKEEPER-594,1080.1050578703705,5.286840277777777,0.0001157407407407
BOOKKEEPER-595,,,
BOOKKEEPER-596,,,
BOOKKEEPER-597,,,
BOOKKEEPER-598,,,
BOOKKEEPER-599,,,
BOOKKEEPER-600,,,
BOOKKEEPER-601,,,
BOOKKEEPER-602,,,
BOOKKEEPER-603,,,
BOOKKEEPER-604,,,
BOOKKEEPER-605,,,
BOOKKEEPER-607,,,
BOOKKEEPER-608,,,
BOOKKEEPER-609,,,
BOOKKEEPER-610,,,
BOOKKEEPER-611,,,
BOOKKEEPER-612,1151.3960300925926,89.58502314814815,0.0003935185185185
BOOKKEEPER-613,,,
BOOKKEEPER-614,,,
BOOKKEEPER-615,,,
BOOKKEEPER-617,,,
BOOKKEEPER-618,,,
BOOKKEEPER-619,,,
BOOKKEEPER-620,,,
BOOKKEEPER-621,,,
BOOKKEEPER-622,,,
BOOKKEEPER-623,,,
BOOKKEEPER-624,,,
BOOKKEEPER-625,,,
BOOKKEEPER-626,,,
BOOKKEEPER-627,,,
BOOKKEEPER-628,,,
BOOKKEEPER-629,,,
BOOKKEEPER-630,,,
BOOKKEEPER-632,,,
BOOKKEEPER-633,,,
BOOKKEEPER-634,,,
BOOKKEEPER-635,,,
BOOKKEEPER-636,,,
BOOKKEEPER-637,,,
BOOKKEEPER-638,,,
BOOKKEEPER-639,,,
BOOKKEEPER-640,,,
BOOKKEEPER-641,,,
BOOKKEEPER-642,,,
BOOKKEEPER-643,,,
BOOKKEEPER-644,,,
BOOKKEEPER-645,,,
BOOKKEEPER-646,,,
BOOKKEEPER-649,,,
BOOKKEEPER-652,,,
BOOKKEEPER-653,,,
BOOKKEEPER-654,,,
BOOKKEEPER-656,,,
BOOKKEEPER-657,,,
BOOKKEEPER-658,,,
BOOKKEEPER-659,,,
BOOKKEEPER-660,,,
BOOKKEEPER-661,,,
BOOKKEEPER-662,,,
BOOKKEEPER-663,,,
BOOKKEEPER-664,,,
BOOKKEEPER-666,,,
BOOKKEEPER-667,,,
BOOKKEEPER-668,,,
BOOKKEEPER-669,,,
BOOKKEEPER-670,,,
BOOKKEEPER-671,,,
BOOKKEEPER-672,,,
BOOKKEEPER-673,,,
BOOKKEEPER-674,,,
BOOKKEEPER-675,,,
BOOKKEEPER-676,,,
BOOKKEEPER-678,,,
BOOKKEEPER-679,,,
BOOKKEEPER-683,,,
BOOKKEEPER-684,,,
BOOKKEEPER-685,,,
BOOKKEEPER-686,,,
BOOKKEEPER-687,,,
BOOKKEEPER-688,,,
BOOKKEEPER-689,,,
BOOKKEEPER-690,,,
BOOKKEEPER-695,,,
BOOKKEEPER-696,,,
BOOKKEEPER-697,,,
BOOKKEEPER-698,,,
BOOKKEEPER-699,,,
BOOKKEEPER-700,,,
BOOKKEEPER-701,,,
BOOKKEEPER-703,,,
BOOKKEEPER-704,,,
BOOKKEEPER-708,,,
BOOKKEEPER-709,,,
BOOKKEEPER-710,,,
BOOKKEEPER-770,,,
BOOKKEEPER-711,,,
BOOKKEEPER-712,,,
BOOKKEEPER-713,,,
BOOKKEEPER-714,,,
BOOKKEEPER-715,,,
BOOKKEEPER-716,,,
BOOKKEEPER-717,,,
BOOKKEEPER-718,,,
BOOKKEEPER-719,,,
BOOKKEEPER-720,,,
BOOKKEEPER-721,,,
BOOKKEEPER-722,,,
BOOKKEEPER-723,,,
BOOKKEEPER-724,,,
BOOKKEEPER-725,,,
BOOKKEEPER-726,,,
BOOKKEEPER-727,,,
BOOKKEEPER-728,,,
BOOKKEEPER-729,,,
BOOKKEEPER-730,,,
BOOKKEEPER-731,,,
BOOKKEEPER-732,,,
BOOKKEEPER-733,,,
BOOKKEEPER-736,,,
BOOKKEEPER-739,,,
BOOKKEEPER-740,,,
BOOKKEEPER-742,,,
BOOKKEEPER-743,,,
BOOKKEEPER-744,,,
BOOKKEEPER-745,,,
BOOKKEEPER-746,,,
BOOKKEEPER-747,,,
BOOKKEEPER-748,1137.2124652777777,4.386678240740741,
BOOKKEEPER-749,,,
BOOKKEEPER-750,,,
BOOKKEEPER-751,,,
BOOKKEEPER-752,,,
BOOKKEEPER-755,,,
BOOKKEEPER-756,,,
BOOKKEEPER-757,,,
BOOKKEEPER-758,,,
BOOKKEEPER-759,1136.8195833333334,7.893668981481482,6.944444444444444e-05
BOOKKEEPER-760,,,
BOOKKEEPER-763,,,
BOOKKEEPER-765,,,
BOOKKEEPER-766,,,
BOOKKEEPER-767,,,
BOOKKEEPER-768,,,
BOOKKEEPER-769,615.6018634259259,20.14141203703704,
BOOKKEEPER-769,615.6018634259259,20.14141203703704,
BOOKKEEPER-772,1074.0966203703704,2.9112847222222222,0.0296527777777777
BOOKKEEPER-773,,,
BOOKKEEPER-774,,,
BOOKKEEPER-775,,,
BOOKKEEPER-776,,,
BOOKKEEPER-777,,,
BOOKKEEPER-778,,,
BOOKKEEPER-779,,,
BOOKKEEPER-780,,,
BOOKKEEPER-781,,,
BOOKKEEPER-782,,,
BOOKKEEPER-783,,,
BOOKKEEPER-784,,,
BOOKKEEPER-785,,,
BOOKKEEPER-786,,,
BOOKKEEPER-787,,,
BOOKKEEPER-788,,,
BOOKKEEPER-789,,,
BOOKKEEPER-790,,,
BOOKKEEPER-791,,,
BOOKKEEPER-792,,,
BOOKKEEPER-793,,,
BOOKKEEPER-794,,,
BOOKKEEPER-795,,,
BOOKKEEPER-796,,,
BOOKKEEPER-797,,,
BOOKKEEPER-798,,,
BOOKKEEPER-799,,,
BOOKKEEPER-800,,,
BOOKKEEPER-801,,,
BOOKKEEPER-802,,,
BOOKKEEPER-803,,,
BOOKKEEPER-804,,,
BOOKKEEPER-805,,,
BOOKKEEPER-806,,,
BOOKKEEPER-807,,,
BOOKKEEPER-808,,,
BOOKKEEPER-809,,,
BOOKKEEPER-810,,,
BOOKKEEPER-811,,,
BOOKKEEPER-812,,,
BOOKKEEPER-813,,,
BOOKKEEPER-814,,,
BOOKKEEPER-815,,,
BOOKKEEPER-816,718.6627662037037,1342.3656481481482,
BOOKKEEPER-817,,,
BOOKKEEPER-818,1071.612048611111,1.425474537037037,
BOOKKEEPER-819,,,
BOOKKEEPER-820,,,
BOOKKEEPER-821,,,
BOOKKEEPER-822,,,
BOOKKEEPER-823,,,
BOOKKEEPER-824,,,
BOOKKEEPER-825,,,
BOOKKEEPER-826,,,
BOOKKEEPER-827,,,
BOOKKEEPER-828,,,
BOOKKEEPER-829,,,
BOOKKEEPER-830,,,
BOOKKEEPER-831,,,
BOOKKEEPER-832,,,
BOOKKEEPER-833,,,
BOOKKEEPER-834,,,
BOOKKEEPER-835,,,
BOOKKEEPER-836,,,
BOOKKEEPER-837,,,
BOOKKEEPER-838,,,
BOOKKEEPER-839,,,
BOOKKEEPER-840,,,
BOOKKEEPER-841,327.8481712962963,23.153819444444444,0.0004976851851851
BOOKKEEPER-842,,,
BOOKKEEPER-843,,,
BOOKKEEPER-844,,,
BOOKKEEPER-845,,,
BOOKKEEPER-846,,,
BOOKKEEPER-847,,,
BOOKKEEPER-848,,,
BOOKKEEPER-849,,,
BOOKKEEPER-850,,,
BOOKKEEPER-851,296.43819444444443,35.89445601851852,0.0002314814814814
BOOKKEEPER-852,581.1316550925926,136.73443287037037,
BOOKKEEPER-853,,,
BOOKKEEPER-854,,,
BOOKKEEPER-855,163.1004861111111,84.55655092592593,0.0015625
BOOKKEEPER-856,,,
BOOKKEEPER-858,,,
BOOKKEEPER-859,,,
BOOKKEEPER-860,,,
BOOKKEEPER-862,,,
BOOKKEEPER-863,,,
BOOKKEEPER-864,,,
BOOKKEEPER-865,,,
BOOKKEEPER-866,,,
BOOKKEEPER-867,,,
BOOKKEEPER-868,,,
BOOKKEEPER-869,,,
BOOKKEEPER-870,208.1248611111111,3.760474537037037,0.0136921296296296
BOOKKEEPER-872,,,
BOOKKEEPER-873,435.35596064814814,60.95836805555555,
BOOKKEEPER-873,435.35596064814814,60.95836805555555,
BOOKKEEPER-874,444.1516782407408,52.21587962962963,
BOOKKEEPER-875,,,
BOOKKEEPER-877,,,
BOOKKEEPER-878,,,
BOOKKEEPER-879,16.197199074074074,90.08354166666666,0.0002199074074074
BOOKKEEPER-880,148.91998842592594,0.4457638888888889,0.0007175925925925
BOOKKEEPER-881,209.60199074074075,0.0267824074074074,0.002662037037037
BOOKKEEPER-882,,,
BOOKKEEPER-883,70.83172453703703,4.489837962962963,0.0025694444444444
BOOKKEEPER-884,,,
BOOKKEEPER-885,0.0037037037037037,11.301458333333333,0.003449074074074
BOOKKEEPER-886,0.0015277777777777,7.958599537037037,0.0001041666666666
BOOKKEEPER-888,0.0043981481481481,7.930821759259259,0.0004166666666666
BOOKKEEPER-889,1.7247106481481482,32.43849537037037,9.25925925925926e-05
BOOKKEEPER-890,0.0030555555555555,5.472372685185185,0.0006481481481481
BOOKKEEPER-891,0.0030324074074074,3.620081018518519,0.0009259259259259
BOOKKEEPER-892,0.0999884259259259,1.0848958333333334,0.0008912037037037
BOOKKEEPER-893,0.0346296296296296,1.0306481481481482,0.0004166666666666
BOOKKEEPER-894,28.518564814814816,6.928576388888889,0.000162037037037
BOOKKEEPER-895,27.139756944444443,48.977094907407405,0.0001157407407407
BOOKKEEPER-896,14.20732638888889,32.098449074074075,49.58619212962963
BOOKKEEPER-896,14.20732638888889,32.098449074074075,49.58619212962963
BOOKKEEPER-897,0.0238194444444444,0.1694097222222222,0.0030902777777777
BOOKKEEPER-898,2.3046296296296296,6.163194444444445,0.0004398148148148
BOOKKEEPER-899,0.974074074074074,7.482766203703703,0.0001388888888888
BOOKKEEPER-900,0.6117824074074074,7.492430555555556,0.0001041666666666
BOOKKEEPER-901,0.1215625,27.32783564814815,0.0001157407407407
BOOKKEEPER-902,0.0238888888888888,5.346400462962963,0.5647106481481482
BOOKKEEPER-903,223.92444444444445,20.316863425925927,0.0007175925925925
BOOKKEEPER-904,22.78997685185185,0.2138194444444444,0.0004976851851851
BOOKKEEPER-905,,,
BOOKKEEPER-907,287.0013657407408,32.88096064814815,0.0
BOOKKEEPER-908,48.013888888888886,56.1433912037037,4.629629629629629e-05
BOOKKEEPER-909,,,
BOOKKEEPER-910,,,
BOOKKEEPER-911,2.592465277777778,21.965185185185184,
BOOKKEEPER-912,208.72953703703703,17.6184375,
BOOKKEEPER-913,1.042638888888889,3.4280439814814816,0.0002662037037037
BOOKKEEPER-914,1.0120717592592592,0.0415856481481481,0.0004282407407407
BOOKKEEPER-915,,,
BOOKKEEPER-916,,,
BOOKKEEPER-917,2.4996875,0.2754976851851852,0.0008449074074074
BOOKKEEPER-918,,,
BOOKKEEPER-919,6.094699074074074,13.384768518518518,0.0005439814814814
BOOKKEEPER-920,1.4701157407407408,14.038333333333334,0.0001736111111111
BOOKKEEPER-921,,,
BOOKKEEPER-922,54.9077662037037,34.91890046296297,
BOOKKEEPER-924,0.1910300925925926,176.7455787037037,
BOOKKEEPER-924,0.1910300925925926,176.7455787037037,
BOOKKEEPER-925,0.0391898148148148,1.4202430555555556,0.8808912037037037
BOOKKEEPER-925,0.0391898148148148,1.4202430555555556,0.8808912037037037
BOOKKEEPER-926,0.0041898148148148,3.6607754629629623,0.0003009259259259
BOOKKEEPER-927,1.137013888888889,69.85185185185185,302.359375
BOOKKEEPER-929,,,
BOOKKEEPER-930,6.983923611111111,85.21237268518519,9.25925925925926e-05
BOOKKEEPER-931,,,
BOOKKEEPER-932,0.0178356481481481,24.90502314814815,0.0
BOOKKEEPER-933,4.6899189814814815,38.92659722222222,5.787037037037037e-05
BOOKKEEPER-934,,,
BOOKKEEPER-935,401.7302893518519,0.5732175925925926,0.0002083333333333
BOOKKEEPER-936,,,
BOOKKEEPER-937,1.0152314814814816,48.95136574074074,0.0014236111111111
BOOKKEEPER-938,0.1138541666666666,23.28789351851852,5.787037037037037e-05
BOOKKEEPER-939,0.0590972222222222,0.0615393518518518,0.0041782407407407
BOOKKEEPER-940,2.1569791666666664,0.4319444444444444,4.629629629629629e-05
BOOKKEEPER-941,0.6179629629629629,17.97158564814815,0.0001388888888888
BOOKKEEPER-942,,,
BOOKKEEPER-943,125.3017476851852,14.653171296296296,
BOOKKEEPER-944,171.17783564814815,111.85150462962964,
BOOKKEEPER-945,3.056111111111111,11.939212962962962,284.2328009259259
BOOKKEEPER-946,19.15533564814815,93.11332175925926,
BOOKKEEPER-946,19.15533564814815,93.11332175925926,
BOOKKEEPER-947,,,
BOOKKEEPER-948,5.098078703703703,62.02797453703704,0.0002546296296296
BOOKKEEPER-949,91.10311342592593,33.14488425925926,
BOOKKEEPER-950,69.84335648148148,104.03751157407407,
BOOKKEEPER-951,,,
BOOKKEEPER-952,0.0005092592592592,6.501215277777778,1.1574074074074072e-05
BOOKKEEPER-953,,,
BOOKKEEPER-954,,,
