jira_key,dev_start_ts,review_start_ts,review_end_ts,testing_end_ts,dev_duration_hours,review_duration_hours,testing_duration_hours,exception_reason
BOOKKEEPER-464,2012-11-12T12:40:19Z,,,2017-10-09T09:44:39Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-465,2012-11-14T05:51:14Z,,,2012-12-10T10:04:46Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-466,2012-11-19T10:51:46Z,,,2012-11-21T11:24:50Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-467,2012-11-19T10:53:29Z,,,2012-11-23T10:51:18Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-468,2012-11-19T10:54:13Z,,,2012-11-21T09:32:09Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-469,2012-11-19T10:55:20Z,,,2012-12-10T09:59:12Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-470,2012-11-19T10:59:34Z,,,2012-12-04T17:28:39Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-471,2012-11-19T12:28:44Z,,,2012-11-27T09:52:59Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-472,2012-11-19T12:45:14Z,,,2013-01-14T16:03:06Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-473,2012-11-20T17:28:20Z,,,2017-10-09T09:44:28Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-474,2012-11-21T10:17:40Z,,,2012-12-08T15:15:22Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-475,2012-11-21T13:28:17Z,,,2012-12-04T21:16:45Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-476,2012-11-23T16:23:45Z,,,2012-11-27T20:46:16Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-477,2012-11-23T16:26:32Z,,,2012-11-27T15:53:13Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-479,2012-11-27T11:05:11Z,,,2012-11-27T14:36:53Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-480,2012-11-27T11:05:35Z,,,2012-11-30T03:57:10Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-481,2012-11-27T11:05:50Z,,,2012-11-30T03:54:44Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-482,2012-11-27T11:18:22Z,,,2012-12-01T05:33:23Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-483,2012-11-27T14:25:25Z,,,2012-12-13T15:44:59Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-484,2012-11-27T15:14:46Z,,,2012-12-03T20:32:43Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-485,2012-11-27T15:33:54Z,,,2012-12-01T14:05:06Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-486,2012-11-28T03:47:05Z,,,2012-11-28T15:11:28Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-487,2012-11-29T08:11:30Z,,,2012-11-29T16:55:38Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-488,2012-12-01T03:01:05Z,,,2017-10-09T09:44:11Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-489,2012-12-01T05:41:43Z,,,2012-12-07T11:53:38Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-490,2012-12-04T05:39:56Z,,,2012-12-18T05:48:52Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-491,2012-12-04T12:05:06Z,,,2012-12-11T10:23:17Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-492,2012-12-05T08:43:48Z,,,2017-10-09T09:43:14Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-493,2012-12-06T18:21:59Z,,,2012-12-12T17:27:53Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-494,2012-12-07T05:26:07Z,,,2017-06-22T00:25:25Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-495,2012-12-07T11:23:44Z,,,2012-12-11T17:59:56Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-496,2012-12-07T17:04:23Z,,,2012-12-18T11:02:35Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-497,2012-12-10T10:50:42Z,,,2012-12-12T05:54:48Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-498,2012-12-10T14:29:56Z,,,2012-12-10T15:04:18Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-499,2012-12-11T01:15:20Z,,,2016-03-16T04:21:02Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-500,2012-12-11T06:31:48Z,,,2012-12-18T12:05:21Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-501,2012-12-11T21:47:08Z,,,2016-03-16T04:21:02Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-502,2012-12-12T11:54:01Z,,,2017-10-09T09:42:58Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-503,2012-12-13T17:11:05Z,,,2013-01-12T17:55:49Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-504,2012-12-13T21:44:00Z,,,2012-12-14T14:15:24Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-505,2012-12-14T08:42:13Z,,,2013-03-17T23:53:26Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-506,2012-12-14T08:53:11Z,,,2013-03-25T16:27:06Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-507,2012-12-14T08:55:54Z,,,2013-01-03T11:09:07Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-508,2012-12-14T09:14:30Z,,,2016-03-16T04:21:02Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-509,2012-12-14T09:19:48Z,,,2012-12-18T10:55:55Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-510,2012-12-14T10:04:35Z,,,2017-10-09T09:42:49Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-511,2012-12-14T15:56:02Z,,,2012-12-15T01:45:28Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-512,2012-12-14T16:44:56Z,,,2012-12-15T02:08:50Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-513,2012-12-14T16:56:23Z,,,2013-01-14T12:46:41Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-514,2012-12-14T17:17:45Z,,,2012-12-28T11:33:12Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-515,2012-12-14T17:22:30Z,,,2014-03-23T18:08:59Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-516,2012-12-14T22:14:49Z,,,2013-01-02T10:31:57Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-517,2012-12-17T05:53:08Z,,,2016-03-16T04:21:00Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-518,2012-12-17T06:10:17Z,,,2016-03-16T04:21:05Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-519,2012-12-18T11:23:31Z,,,2014-01-15T08:05:46Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-520,2012-12-18T17:05:04Z,,,2012-12-27T22:17:13Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-521,2012-12-20T07:48:03Z,,,2017-10-09T09:42:19Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-522,2012-12-20T16:43:47Z,,,2012-12-24T05:06:19Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-523,2012-12-20T18:28:29Z,,,2012-12-29T15:33:04Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-524,2012-12-21T01:29:44Z,,,2013-01-07T02:48:49Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-525,2012-12-24T02:18:50Z,,,2017-10-09T09:42:07Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-526,2012-12-29T00:31:54Z,,,2013-02-06T15:31:40Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-527,2012-12-29T00:36:57Z,,,2016-03-16T04:21:01Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-528,2012-12-29T00:43:15Z,,,2016-03-16T04:21:00Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-529,2012-12-29T00:50:20Z,,,2013-01-09T16:47:51Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-530,2012-12-29T07:38:31Z,,,2013-01-10T14:34:08Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-531,2013-01-05T08:04:48Z,,,2013-01-09T11:30:00Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-532,2013-01-05T08:12:40Z,,,2013-01-07T23:45:41Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-533,2013-01-05T12:52:03Z,,,2013-01-09T16:18:49Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-534,2013-01-05T13:01:04Z,,,2013-01-07T21:54:14Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-535,2013-01-06T02:20:54Z,,,2016-03-16T04:21:00Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-536,2013-01-07T10:29:47Z,,,2016-03-16T04:21:02Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-537,2013-01-08T03:29:19Z,,,2016-04-10T04:26:56Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-538,2013-01-08T18:37:21Z,,,2013-01-10T18:14:34Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-539,2013-01-09T06:16:05Z,,,2013-01-11T04:17:14Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-540,2013-01-09T07:06:31Z,,,2013-01-10T09:42:43Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-541,2013-01-09T12:23:01Z,,,2013-01-09T15:34:56Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-542,2013-01-09T16:38:48Z,,,2013-01-09T17:49:16Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-543,2013-01-10T07:49:39Z,,,2013-01-10T09:39:53Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-544,2013-01-11T11:36:07Z,,,2013-06-06T17:04:35Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-545,2013-01-11T21:03:35Z,,,2016-03-16T04:21:04Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-546,2013-01-11T22:27:15Z,,,2017-10-09T09:41:45Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-548,2013-01-16T09:59:43Z,,,2013-02-19T15:17:41Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-549,2013-01-16T10:12:56Z,,,2013-02-19T15:20:22Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-550,2013-01-19T16:51:45Z,,,2013-01-20T06:42:17Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-551,2013-01-20T06:48:53Z,,,2016-03-16T04:21:03Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-552,2013-01-20T07:07:05Z,2017-02-17T22:56:58Z,2017-05-02T21:05:19Z,2017-05-02T21:10:20Z,35751.8314,1774.1392,0.0836,
BOOKKEEPER-553,2013-01-20T07:15:41Z,2016-12-02T22:33:05Z,2017-01-31T01:42:13Z,2017-01-31T01:42:51Z,33903.2900,1419.1522,0.0106,
BOOKKEEPER-554,2013-01-20T07:32:38Z,,,2013-02-12T05:00:39Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-555,2013-01-24T16:49:32Z,,,2013-02-12T10:17:39Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-556,2013-01-24T16:52:40Z,,,2013-02-09T08:00:05Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-557,2013-01-24T17:16:47Z,,,2013-03-25T05:27:46Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-558,2013-01-25T00:31:33Z,,,2013-03-28T18:43:56Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-559,2013-01-28T08:30:50Z,,,2013-03-05T17:47:48Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-560,2013-01-31T18:43:23Z,,,2017-10-09T09:41:28Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-561,2013-02-05T17:53:28Z,,,2013-02-08T18:09:49Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-562,2013-02-07T22:34:08Z,,,2013-06-12T18:22:54Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-563,2013-02-09T04:44:17Z,,,2013-07-20T18:00:31Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-564,2013-02-09T04:52:54Z,,,2013-05-04T12:23:20Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-565,2013-02-09T04:59:11Z,,,2013-12-02T17:46:15Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-566,2013-02-09T05:07:27Z,,,2015-03-12T08:05:28Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-567,2013-02-09T08:57:19Z,,,2013-02-19T15:55:04Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-568,2013-02-11T22:33:44Z,,,2013-02-15T04:32:07Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-569,2013-02-13T17:00:14Z,,,2013-02-16T15:04:17Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-570,2013-02-19T05:16:47Z,,,2016-03-16T04:21:00Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-571,2013-02-21T09:08:14Z,,,2017-10-09T09:41:18Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-572,2013-02-22T17:10:17Z,,,2013-11-15T14:56:41Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-573,2013-02-22T17:12:06Z,,,2013-03-17T23:40:27Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-574,2013-02-22T17:13:44Z,,,2013-02-26T03:14:33Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-575,2013-02-26T14:26:52Z,,,2017-08-02T08:49:07Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-576,2013-02-26T14:34:37Z,,,2013-03-17T23:31:51Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-577,2013-02-26T14:36:01Z,,,2013-05-07T19:49:57Z,,,,missing_review_start;missing_review_end
